Policy_Number,Policy_Type,Coverage,Exclusions,Duration,Premium,Renewal_Option
POL404G,Motor,Covers death due to natural or accidental causes,Suicide not covered for first year,5 Years,"₹18,000",Online Renewal Available
POL705V,Property,Covers accidental damage and theft,Claims under alcohol influence excluded,10 Years,"₹8,000",Offline Renewal Only
POL812O,Travel,Covers personal accident injuries and liabilities,Suicide not covered for first year,Annual,"₹12,000",Offline Renewal Only
POL557Z,Travel,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹25,000",Online Renewal Available
POL359X,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,5 Years,"₹8,000",Online Renewal Available
POL208T,Accident,Covers death due to natural or accidental causes,Adventure sports injuries excluded,10 Years,"₹18,000",Online Renewal Available
POL426T,Travel,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,3 Years,"₹10,000",Online Renewal Available
POL552M,Travel,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,10 Years,"₹25,000",Offline Renewal Only
POL102L,Life,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹18,000",Offline Renewal Only
POL222A,Health,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹12,000",Offline Renewal Only
POL605N,Health,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,10 Years,"₹25,000",Offline Renewal Only
POL971F,Motor,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,3 Years,"₹8,000",Online Renewal Available
POL388P,Accident,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,Annual,"₹12,000",Offline Renewal Only
POL102I,Property,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,10 Years,"₹18,000",Offline Renewal Only
POL901Q,Health,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,20 Years,"₹15,000",Online Renewal Available
POL339L,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹18,000",Online Renewal Available
POL741J,Travel,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,Annual,"₹10,000",Online Renewal Available
POL569R,Property,Covers death due to natural or accidental causes,Adventure sports injuries excluded,20 Years,"₹20,000",Online Renewal Available
POL461L,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,Annual,"₹18,000",Online Renewal Available
POL500W,Travel,Covers emergency medical expenses abroad,Adventure sports injuries excluded,10 Years,"₹25,000",Online Renewal Available
POL325A,Travel,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹18,000",Online Renewal Available
POL640D,Motor,Covers emergency medical expenses abroad,War-related damages excluded,3 Years,"₹30,000",Online Renewal Available
POL575I,Life,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,3 Years,"₹30,000",Online Renewal Available
POL693N,Motor,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,3 Years,"₹18,000",Offline Renewal Only
POL943V,Motor,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,10 Years,"₹18,000",Offline Renewal Only
POL403T,Travel,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,5 Years,"₹18,000",Online Renewal Available
POL244I,Motor,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,5 Years,"₹8,000",Offline Renewal Only
POL281L,Motor,Covers accidental damage and theft,Adventure sports injuries excluded,10 Years,"₹15,000",Offline Renewal Only
POL246D,Travel,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,Annual,"₹20,000",Online Renewal Available
POL685E,Travel,Covers death due to natural or accidental causes,War-related damages excluded,10 Years,"₹25,000",Online Renewal Available
POL277C,Motor,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,10 Years,"₹30,000",Online Renewal Available
POL910I,Travel,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,20 Years,"₹15,000",Online Renewal Available
POL963C,Travel,Covers death due to natural or accidental causes,War-related damages excluded,Annual,"₹20,000",Online Renewal Available
POL754S,Health,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,20 Years,"₹10,000",Online Renewal Available
POL121C,Property,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,20 Years,"₹8,000",Offline Renewal Only
POL126V,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹25,000",Online Renewal Available
POL851M,Accident,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,Annual,"₹20,000",Online Renewal Available
POL874Q,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹10,000",Online Renewal Available
POL643E,Life,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,5 Years,"₹12,000",Online Renewal Available
POL318M,Health,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Offline Renewal Only
POL709O,Motor,Covers emergency medical expenses abroad,War-related damages excluded,20 Years,"₹10,000",Online Renewal Available
POL479I,Travel,Covers emergency medical expenses abroad,Adventure sports injuries excluded,20 Years,"₹12,000",Online Renewal Available
POL763I,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,Annual,"₹18,000",Online Renewal Available
POL407L,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹18,000",Offline Renewal Only
POL676T,Travel,"Covers fire, flood, and natural disasters",War-related damages excluded,3 Years,"₹8,000",Online Renewal Available
POL256B,Accident,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,10 Years,"₹18,000",Offline Renewal Only
POL804G,Life,Covers accidental damage and theft,War-related damages excluded,Annual,"₹18,000",Online Renewal Available
POL281D,Property,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,Annual,"₹30,000",Offline Renewal Only
POL238K,Travel,"Covers fire, flood, and natural disasters",Suicide not covered for first year,Annual,"₹8,000",Offline Renewal Only
POL370A,Motor,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹12,000",Online Renewal Available
POL458X,Accident,Covers emergency medical expenses abroad,Adventure sports injuries excluded,5 Years,"₹18,000",Online Renewal Available
POL830E,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹15,000",Offline Renewal Only
POL648Z,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,20 Years,"₹15,000",Offline Renewal Only
POL391Y,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹12,000",Offline Renewal Only
POL590X,Property,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,5 Years,"₹15,000",Offline Renewal Only
POL475V,Life,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹20,000",Online Renewal Available
POL504E,Property,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,20 Years,"₹15,000",Online Renewal Available
POL866R,Motor,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,5 Years,"₹12,000",Offline Renewal Only
POL976X,Travel,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,20 Years,"₹30,000",Online Renewal Available
POL675G,Property,Covers accidental damage and theft,Suicide not covered for first year,10 Years,"₹12,000",Offline Renewal Only
POL221T,Motor,"Covers fire, flood, and natural disasters",Suicide not covered for first year,5 Years,"₹25,000",Offline Renewal Only
POL563G,Travel,Covers accidental damage and theft,Claims under alcohol influence excluded,3 Years,"₹30,000",Offline Renewal Only
POL874T,Travel,Covers death due to natural or accidental causes,War-related damages excluded,3 Years,"₹25,000",Offline Renewal Only
POL833R,Health,Covers accidental damage and theft,War-related damages excluded,20 Years,"₹20,000",Offline Renewal Only
POL733N,Health,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,Annual,"₹15,000",Offline Renewal Only
POL241J,Travel,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,3 Years,"₹30,000",Offline Renewal Only
POL601M,Accident,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,5 Years,"₹10,000",Online Renewal Available
POL722L,Property,Covers accidental damage and theft,Dental and cosmetic procedures excluded,Annual,"₹20,000",Online Renewal Available
POL289A,Travel,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹10,000",Online Renewal Available
POL365F,Property,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,Annual,"₹8,000",Offline Renewal Only
POL642X,Life,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,10 Years,"₹20,000",Offline Renewal Only
POL569F,Motor,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹18,000",Online Renewal Available
POL193V,Health,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,Annual,"₹30,000",Offline Renewal Only
POL992F,Health,"Covers fire, flood, and natural disasters",Suicide not covered for first year,Annual,"₹25,000",Offline Renewal Only
POL372B,Life,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,10 Years,"₹20,000",Online Renewal Available
POL898S,Health,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,5 Years,"₹15,000",Offline Renewal Only
POL676U,Motor,Covers personal accident injuries and liabilities,War-related damages excluded,10 Years,"₹25,000",Online Renewal Available
POL892F,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹15,000",Online Renewal Available
POL664X,Property,Covers accidental damage and theft,Dental and cosmetic procedures excluded,3 Years,"₹8,000",Online Renewal Available
POL277T,Accident,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,10 Years,"₹12,000",Offline Renewal Only
POL322H,Property,Covers accidental damage and theft,Adventure sports injuries excluded,10 Years,"₹8,000",Offline Renewal Only
POL528A,Property,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,5 Years,"₹25,000",Online Renewal Available
POL429R,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,20 Years,"₹12,000",Online Renewal Available
POL383B,Accident,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,20 Years,"₹25,000",Offline Renewal Only
POL383C,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,20 Years,"₹30,000",Offline Renewal Only
POL528Q,Accident,Covers emergency medical expenses abroad,War-related damages excluded,10 Years,"₹20,000",Online Renewal Available
POL799F,Travel,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,10 Years,"₹20,000",Offline Renewal Only
POL718L,Motor,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹18,000",Offline Renewal Only
POL325B,Property,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,5 Years,"₹15,000",Offline Renewal Only
